case_id,case_folder,case_type,split,image_count,is_complete_case,expected_status,acceptable_status,predicted_status,exact_match,acceptable_match,expected_flagged_filenames,predicted_flagged_filenames,flagged_exact_match,flagged_partial_match,raw_consistency_score,main_view_score,detail_support_score,color_consistency_score,robust_consistency_score,notes,error
case_0001,images/1,same_product_normal,all,6,True,consistent,"[""consistent""]",inconsistent,False,False,[],"[""main_front_flat_2.jpeg"", ""main_back_flat.jpeg""]",False,False,0.573,0.6799,0.8061,0.9008,0.7447,"All six images belong to the same product. The set includes front views, back view, and collar/label details.",
case_0002,images/2,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.698,0.7331,0.8622,1.0,0.8102,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0003,images/3,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7541,0.7579,0.9118,1.0,0.8297,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0004,images/4,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.737,0.7622,0.82,0.9232,0.8076,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0005,images/5,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7503,0.7914,0.8916,0.9059,0.8268,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0006,images/6,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7838,0.8743,0.7202,1.0,0.8992,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0007,images/7,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7427,0.8397,0.8507,0.9232,0.8623,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0008,images/8,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.6899,0.7286,0.8692,1.0,0.8074,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0009,images/9,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7879,0.8277,0.8679,1.0,0.8752,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0010,images/10,same_product_normal,all,5,False,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7774,0.788,0.871,1.0,0.8481,"This case currently contains 5 images. It was visually labeled, but it needs one additional image to meet the standard 6-image validation requirement.",
case_0011,images/11,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7262,0.8148,0.8683,0.9232,0.8461,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0012,images/12,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7968,0.8326,0.8396,1.0,0.877,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0013,images/13,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.8059,0.8569,0.9093,0.9457,0.883,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0014,images/14,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7581,0.7921,0.9083,1.0,0.8529,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0015,images/15,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7352,0.8036,0.7622,0.9457,0.8388,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0016,images/16,same_product_normal,all,5,False,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7914,0.832,0.9288,1.0,0.8813,"This case currently contains 5 images. It was visually labeled, but it needs one additional image to meet the standard 6-image validation requirement.",
case_0017,images/17,same_product_normal,all,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7142,0.7352,0.9106,0.9059,0.7894,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
