case_id,case_folder,case_type,expected_status,acceptable_status,predicted_status,expected_flagged_filenames,predicted_flagged_filenames,predicted_flagged_issue_types,predicted_flagged_severities,predicted_flagged_reasons,raw_consistency_score,robust_consistency_score,color_consistency_score,error_type,review_note
case_0001,images/1,same_product_normal,consistent,"[""consistent""]",inconsistent,[],"[""main_front_flat_2.jpeg"", ""main_back_flat.jpeg""]","[""visual_outlier"", ""color_mismatch""]","[""high"", ""high""]","[""Main or partial product view is very different from other main views."", ""Main-view color clustering found this image in a minority color group.""]",0.573,0.7447,0.9008,both,Review expected vs predicted output.
case_0018,images/18,same_product_normal,consistent,"[""consistent""]",inconsistent,[],"[""main_front_flat_2.jpeg""]","[""color_mismatch""]","[""high""]","[""Dominant color is strongly different from the comparable product images.""]",0.7764,0.8445,0.9457,both,Review expected vs predicted output.
case_0044,images/44,same_product_closeups,consistent,"[""consistent""]",needs_review,[],"[""detail_label.jpeg""]","[""color_mismatch""]","[""medium""]","[""Dominant color is strongly different from the comparable product images.""]",0.2533,0.8527,1.0,both,Review expected vs predicted output.
case_0058,images/58,same_product_hard_conditions,consistent,"[""consistent"", ""needs_review""]",needs_review,[],"[""partial_view.jpeg""]","[""blurry_image""]","[""medium""]","[""The image appears blurry and may not provide reliable visual evidence.""]",0.5589,0.6874,0.776,flagged_mismatch,Review expected vs predicted output.
case_0061,images/61,same_product_hard_conditions,consistent,"[""consistent"", ""needs_review""]",needs_review,[],"[""partial_view.jpeg"", ""main_back_flat.jpeg""]","[""visual_outlier"", ""blurry_image""]","[""medium"", ""medium""]","[""Main or partial product view has low similarity against other main views."", ""The image appears blurry and may not provide reliable visual evidence.""]",0.5301,0.6758,0.9059,flagged_mismatch,Review expected vs predicted output.
case_0064,images/64,same_product_hard_conditions,consistent,"[""consistent"", ""needs_review""]",needs_review,[],"[""partial_view.jpeg""]","[""visual_outlier""]","[""high""]","[""Main or partial product view is very different from other main views.""]",0.4565,0.6925,0.8864,flagged_mismatch,Review expected vs predicted output.
case_0065,images/65,same_product_hard_conditions,consistent,"[""consistent"", ""needs_review""]",needs_review,[],"[""partial_view.jpeg""]","[""visual_outlier""]","[""medium""]","[""Main or partial product view has low similarity against other main views.""]",0.484,0.6099,0.8669,flagged_mismatch,Review expected vs predicted output.
case_0066,images/66,same_product_hard_conditions,consistent,"[""consistent"", ""needs_review""]",needs_review,[],"[""partial_view.jpeg""]","[""visual_outlier""]","[""high""]","[""Main or partial product view is very different from other main views.""]",0.5089,0.7176,0.8669,flagged_mismatch,Review expected vs predicted output.
case_0069,images/69,same_product_hard_conditions,consistent,"[""consistent"", ""needs_review""]",needs_review,[],"[""partial_view.jpeg""]","[""visual_outlier""]","[""medium""]","[""Main or partial product view has low similarity against other main views.""]",0.5222,0.6928,0.776,flagged_mismatch,Review expected vs predicted output.
case_0071,images/71,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpeg""]",[],[],[],[],0.6611,0.8206,1.0,flagged_mismatch,Review expected vs predicted output.
case_0072,images/72,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",consistent,"[""05_wrong_product.jpeg""]",[],[],[],[],0.6739,0.7939,1.0,both,Review expected vs predicted output.
case_0073,images/73,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpeg""]",[],[],[],[],0.6891,0.7891,0.9145,flagged_mismatch,Review expected vs predicted output.
case_0074,images/74,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpeg""]",[],[],[],[],0.5248,0.6445,0.9457,flagged_mismatch,Review expected vs predicted output.
case_0075,images/75,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]","[""05_wrong_product.jpg"", ""03_detail_label.jpg""]","[""visual_outlier"", ""detail_low_support""]","[""high"", ""low""]","[""Main or partial product view is very different from other main views."", ""Detail image has low visual support, but detail views are not treated as primary product mismatches.""]",0.4665,0.5723,0.7784,flagged_mismatch,Review expected vs predicted output.
case_0076,images/76,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.4606,0.6333,0.776,flagged_mismatch,Review expected vs predicted output.
case_0077,images/77,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.6363,0.7675,0.9457,flagged_mismatch,Review expected vs predicted output.
case_0078,images/78,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.5351,0.6889,0.9232,flagged_mismatch,Review expected vs predicted output.
case_0079,images/79,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.6402,0.6517,0.8118,flagged_mismatch,Review expected vs predicted output.
case_0081,images/81,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.6258,0.8222,0.9457,flagged_mismatch,Review expected vs predicted output.
case_0082,images/82,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",consistent,"[""05_wrong_product.jpg""]",[],[],[],[],0.6599,0.7278,0.9059,both,Review expected vs predicted output.
case_0083,images/83,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.5275,0.6323,0.9232,flagged_mismatch,Review expected vs predicted output.
case_0084,images/84,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.6236,0.7687,0.9059,flagged_mismatch,Review expected vs predicted output.
case_0085,images/85,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.5275,0.6323,0.9232,flagged_mismatch,Review expected vs predicted output.
case_0086,images/86,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.4972,0.6842,0.9232,flagged_mismatch,Review expected vs predicted output.
case_0087,images/87,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.5439,0.7003,0.9059,flagged_mismatch,Review expected vs predicted output.
case_0088,images/88,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.6524,0.8207,0.9059,flagged_mismatch,Review expected vs predicted output.
case_0089,images/89,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",consistent,"[""05_wrong_product.jpg""]",[],[],[],[],0.6884,0.8422,0.9059,both,Review expected vs predicted output.
case_0090,images/90,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",needs_review,"[""05_wrong_product.jpg""]",[],[],[],[],0.5682,0.7224,0.9059,flagged_mismatch,Review expected vs predicted output.
case_0092,images/92,same_color_different_model,inconsistent,"[""needs_review"", ""inconsistent""]",consistent,[],[],[],[],[],0.7163,0.7625,0.9529,status_mismatch,Review expected vs predicted output.
case_0093,images/93,same_color_different_model,inconsistent,"[""needs_review"", ""inconsistent""]",needs_review,[],"[""02_product_a_back.jpg""]","[""visual_outlier""]","[""medium""]","[""Main or partial product view has low similarity against other main views.""]",0.4317,0.6695,0.9059,flagged_mismatch,Review expected vs predicted output.
case_0101,images/101,same_garment_type_different_color,inconsistent,"[""inconsistent"", ""needs_review""]",inconsistent,[],"[""04_blue_front.jpg"", ""06_blue_back.JPG""]","[""color_mismatch"", ""color_mismatch""]","[""high"", ""high""]","[""Main-view color clustering found this image in a minority color group."", ""Main-view color clustering found this image in a minority color group.""]",0.5583,0.5846,0.7176,flagged_mismatch,Review expected vs predicted output.
case_0103,images/103,same_garment_type_different_color,inconsistent,"[""inconsistent"", ""needs_review""]",needs_review,"[""00_black_front.jpg"", ""02_black_back.jpg""]",[],[],[],[],0.5861,0.7093,0.8198,flagged_mismatch,Review expected vs predicted output.
case_0104,images/104,same_garment_type_different_color,inconsistent,"[""inconsistent"", ""needs_review""]",inconsistent,"[""00_orange_front.jpg"", ""01_orange_detail_label.jpg""]","[""00_orange_front.jpg""]","[""color_mismatch""]","[""high""]","[""Main-view color clustering found this image in a minority color group.""]",0.5557,0.6538,0.5721,flagged_mismatch,Review expected vs predicted output.
case_0106,images/106,same_garment_type_different_color,inconsistent,"[""inconsistent"", ""needs_review""]",needs_review,"[""00_red_front.jpg"", ""04_red_back.jpg""]",[],[],[],[],0.5231,0.6658,0.8785,flagged_mismatch,Review expected vs predicted output.
case_0109,images/109,same_garment_type_different_color,inconsistent,"[""inconsistent"", ""needs_review""]",inconsistent,"[""00_white_detail_label.jpg"", ""01_white_front.jpg""]","[""01_white_front.jpg""]","[""color_mismatch""]","[""high""]","[""Dominant color is strongly different from the comparable product images.""]",0.5053,0.5823,0.4874,flagged_mismatch,Review expected vs predicted output.
case_0110,images/110,same_garment_type_different_color,inconsistent,"[""inconsistent"", ""needs_review""]",needs_review,"[""01_ping_detail_label.jpg"", ""02_blue_back.jpg"", ""04_blue_front.jpg""]",[],[],[],[],0.622,0.749,0.8785,flagged_mismatch,Review expected vs predicted output.
case_0119,images/119,invalid_images,needs_review,"[""needs_review"", ""inconsistent""]",inconsistent,"[""invalid_blurry.jpeg"", ""invalid_too_dark.jpeg""]","[""invalid_too_dark.jpeg""]","[""color_mismatch""]","[""high""]","[""Dominant color is strongly different from the comparable product images.""]",0.6548,0.7823,1.0,flagged_mismatch,Review expected vs predicted output.
case_0120,images/120,invalid_images,needs_review,"[""needs_review"", ""inconsistent""]",inconsistent,"[""invalid_blurry.jpeg"", ""invalid_too_dark.jpeg""]","[""invalid_too_dark.jpeg""]","[""color_mismatch""]","[""high""]","[""Dominant color is strongly different from the comparable product images.""]",0.6132,0.7576,0.9232,flagged_mismatch,Review expected vs predicted output.
