case_id,case_folder,case_type,expected_status,acceptable_status,predicted_status,expected_flagged_filenames,predicted_flagged_filenames,raw_consistency_score,robust_consistency_score,color_consistency_score,error_type,review_note
case_0033,images/33,same_product_closeups,consistent,"[""consistent""]",needs_review,[],"[""detail_label.jpeg"", ""detail_logo.jpeg"", ""detail_fabric.jpeg""]",0.3734,0.862,1.0,both,Review expected vs predicted output.
case_0034,images/34,same_product_closeups,consistent,"[""consistent""]",needs_review,[],"[""detail_label.jpeg"", ""detail_fabric.jpeg""]",0.4491,0.8245,0.9232,both,Review expected vs predicted output.
case_0043,images/43,same_product_closeups,consistent,"[""consistent""]",needs_review,[],"[""detail_label.jpeg"", ""detail_logo.jpeg""]",0.4527,0.8637,0.9457,both,Review expected vs predicted output.
case_0048,images/48,same_product_closeups,consistent,"[""consistent""]",needs_review,[],"[""detail_label.jpeg"", ""detail_logo.jpeg"", ""detail_fabric.jpeg""]",0.3946,0.8288,0.9457,both,Review expected vs predicted output.
case_0058,images/58,same_product_hard_conditions,consistent,"[""consistent"", ""needs_review""]",needs_review,[],"[""detail_collar.jpeg""]",0.559,0.6791,0.776,flagged_mismatch,Review expected vs predicted output.
case_0065,images/65,same_product_hard_conditions,consistent,"[""consistent"", ""needs_review""]",needs_review,[],"[""detail_collar.jpeg"", ""partial_view.jpeg""]",0.4841,0.5996,0.8669,flagged_mismatch,Review expected vs predicted output.
case_0072,images/72,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",consistent,"[""05_wrong_product.jpeg""]",[],0.6739,0.7943,1.0,both,Review expected vs predicted output.
case_0084,images/84,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",consistent,"[""05_wrong_product.jpg""]",[],0.6231,0.7627,0.9059,both,Review expected vs predicted output.
case_0089,images/89,one_wrong_image,needs_review,"[""needs_review"", ""inconsistent""]",consistent,"[""05_wrong_product.jpg""]",[],0.6883,0.8387,0.9059,both,Review expected vs predicted output.
case_0097,images/97,same_color_different_model,inconsistent,"[""needs_review"", ""inconsistent""]",needs_review,[],"[""01_product_a_detail_label.jpg""]",0.5336,0.7982,1.0,flagged_mismatch,Review expected vs predicted output.
case_0103,images/103,same_garment_type_different_color,inconsistent,"[""inconsistent"", ""needs_review""]",consistent,"[""00_black_front.jpg"", ""02_black_back.jpg""]",[],0.5863,0.7039,0.8198,both,Review expected vs predicted output.
case_0112,images/112,invalid_images,needs_review,"[""needs_review"", ""inconsistent""]",consistent,"[""invalid_blurry.jpeg"", ""invalid_too_dark.jpeg""]",[],0.5726,0.7673,0.9457,both,Review expected vs predicted output.
