case_id,case_folder,case_type,split,image_count,is_complete_case,expected_status,acceptable_status,predicted_status,exact_match,acceptable_match,expected_flagged_filenames,predicted_flagged_filenames,flagged_exact_match,flagged_partial_match,raw_consistency_score,main_view_score,detail_support_score,color_consistency_score,robust_consistency_score,notes,error
case_0011,images/11,same_product_normal,test,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7264,0.815,0.8684,0.9232,0.8474,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0022,images/22,same_product_normal,test,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7229,0.7635,0.6923,0.9059,0.792,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0025,images/25,same_product_normal,test,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.9042,0.9162,0.9386,0.9457,0.9258,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0027,images/27,same_product_normal,test,6,True,consistent,"[""consistent""]",consistent,True,True,[],[],True,True,0.7436,0.8518,0.5944,0.9457,0.8496,All images are expected to belong to the same product. This case is used to verify that the system approves normal same-product listings.,
case_0033,images/33,same_product_closeups,test,6,True,consistent,"[""consistent""]",needs_review,False,False,[],"[""detail_label.jpeg"", ""detail_logo.jpeg"", ""detail_fabric.jpeg""]",False,False,0.3734,0.8951,0.3022,1.0,0.862,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0034,images/34,same_product_closeups,test,6,True,consistent,"[""consistent""]",needs_review,False,False,[],"[""detail_label.jpeg"", ""detail_fabric.jpeg""]",False,False,0.4491,0.8545,0.3829,0.9232,0.8245,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0043,images/43,same_product_closeups,test,6,True,consistent,"[""consistent""]",needs_review,False,False,[],"[""detail_label.jpeg"", ""detail_logo.jpeg""]",False,False,0.4527,0.906,0.384,0.9457,0.8637,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0048,images/48,same_product_closeups,test,6,True,consistent,"[""consistent""]",needs_review,False,False,[],"[""detail_label.jpeg"", ""detail_logo.jpeg"", ""detail_fabric.jpeg""]",False,False,0.3946,0.8697,0.2701,0.9457,0.8288,"All images are expected to belong to the same product. This case includes close-up and detail images such as collar, label, logo, fabric, front view, and back view. Detail images should not be treated as inconsistencies.",
case_0058,images/58,same_product_hard_conditions,test,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],"[""detail_collar.jpeg""]",False,False,0.559,0.6657,0.5243,0.776,0.6791,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0065,images/65,same_product_hard_conditions,test,6,True,consistent,"[""consistent"", ""needs_review""]",needs_review,False,True,[],"[""detail_collar.jpeg"", ""partial_view.jpeg""]",False,False,0.4841,0.5261,0.4095,0.8669,0.5996,"All images are expected to belong to the same product. Wrinkles, shadows, lighting changes, different backgrounds, and partial views should not be treated as product inconsistencies. The system may return needs_review if conditions are difficult, but it should not mark the case as inconsistent.",
case_0072,images/72,one_wrong_image,test,6,True,needs_review,"[""needs_review"", ""inconsistent""]",consistent,False,False,"[""05_wrong_product.jpeg""]",[],False,False,0.6739,0.7149,0.7963,1.0,0.7943,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0084,images/84,one_wrong_image,test,6,True,needs_review,"[""needs_review"", ""inconsistent""]",consistent,False,False,"[""05_wrong_product.jpg""]",[],False,False,0.6231,0.7239,0.6573,0.9059,0.7627,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0089,images/89,one_wrong_image,test,6,True,needs_review,"[""needs_review"", ""inconsistent""]",consistent,False,False,"[""05_wrong_product.jpg""]",[],False,False,0.6883,0.8228,0.7741,0.9059,0.8387,Five images are expected to belong to the same product. One image belongs to a different product and should be flagged without automatically treating the whole set as a failed listing.,
case_0097,images/97,same_color_different_model,test,6,True,inconsistent,"[""needs_review"", ""inconsistent""]",needs_review,False,True,[],"[""01_product_a_detail_label.jpg""]",False,False,0.5336,0.7757,0.4395,1.0,0.7982,"This case mixes images from two visually similar products. The products may share color, category, or brand, but they differ in model details such as cut, collar, seams, label, pattern, logo, or shape. Since the set is split between product A and product B, the system should mark the listing as inconsistent or needs_review rather than flagging only one individual image.",
case_0103,images/103,same_garment_type_different_color,test,6,True,inconsistent,"[""inconsistent"", ""needs_review""]",consistent,False,False,"[""00_black_front.jpg"", ""02_black_back.jpg""]",[],False,False,0.5863,0.6751,0.6017,0.8198,0.7039,This case mixes images from the same garment type but clearly different colors. The system should detect the color mismatch and mark the listing as inconsistent or needs_review.,
case_0112,images/112,invalid_images,test,6,True,needs_review,"[""needs_review"", ""inconsistent""]",consistent,False,False,"[""invalid_blurry.jpeg"", ""invalid_too_dark.jpeg""]",[],False,False,0.5726,0.7273,0.5812,0.9457,0.7673,"This case includes valid same-product images mixed with invalid or low-quality images. The system should flag images that do not help validate the product, without necessarily treating all valid images as inconsistent.",
